GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_004364635.1	8772348	GCF_004364635.1	8787238	
GCA_014647155.1	22190358	GCF_014647155.1	22208528	
GCA_003046475.1	6362308	GCF_003046475.1	6406748	
GCA_001183985.1	2025088	GCF_001183985.1	2028308	
GCA_014650035.1	22193238	GCF_014650035.1	22233898	
GCA_014656435.1	22199638	GCF_014656435.1	22232538	
GCA_005280585.1	9894718	GCF_005280585.1	9939348	
GCA_000952855.1	1683938	GCF_000952855.1	1689408	
GCA_012927405.1	19348208	GCF_012927405.1	19433878	
GCA_014062345.1	21426048	GCF_014062345.1	21537028	
GCA_001005305.1	1770528	GCF_001005305.1	1771548	
GCA_003946605.1	8091278	GCF_003946605.1	8102978	
GCA_004766045.1	9253208	GCF_004766045.1	9266748	
GCA_013266735.1	19910478	GCF_013266735.1	19953648	
GCA_900089775.1	3335578	GCF_900089775.1	3396818	
GCA_900129235.1	3778368	GCF_900129235.1	3841268	
GCA_900129575.1	3777008	GCF_900129575.1	3839968	
GCA_900184895.1	4846158	GCF_900184895.1	4896378	
GCA_003148645.1	6536168	GCF_003148645.1	6566078	
GCA_008727925.1	14134408	GCF_008727925.1	14243458	
GCA_001709345.1	3412338	GCF_001709345.1	3418378	
GCA_900172215.1	4439108	GCF_900172215.1	4447248	
GCA_001758465.1	3503708	GCF_001758465.1	3508908	
GCA_015767265.1	23578258	GCF_015767265.1	23660418	
GCA_014197145.1	21601458	GCF_014197145.1	21619268	
GCA_014650355.1	22193558	GCF_014650355.1	22233938	
GCA_000797465.1	1409568	GCF_000797465.1	1412808	
GCA_008629675.1	13991088	GCF_008629675.1	14066008	
GCA_003053845.1	6377538	GCF_003053845.1	6406488	
GCA_900188205.1	4724478	GCF_900188205.1	4789008	
GCA_001750285.1	3478848	GCF_001750285.1	3479058	
GCA_009745985.1	15606598	GCF_009745985.1	15619268	
GCA_014138555.1	21510268	GCF_014138555.1	21561448	
GCA_900102545.1	3631188	GCF_900102545.1	4868608	
GCA_003351045.1	6968668	GCF_003351045.1	6975668	
GCA_902459735.1	14127988	GCF_902459735.1	14205688	
GCA_900116555.1	3709488	GCF_900116555.1	4888928	
GCA_013839525.1	21021308	GCF_013839525.1	21405108	
GCA_007279655.1	12406138	GCF_007279655.1	12934038	
GCA_001507545.1	2779808	GCF_001507545.1	3404548	
GCA_003014535.1	6287818	GCF_003014535.1	6293428	
GCA_900108245.1	6008358	GCF_900108245.1	6011978	
GCA_005930355.1	10791838	GCF_005930355.1	10869888	
GCA_003150675.1	6540208	GCF_003150675.1	6565838	
GCA_016741855.1	24696568	GCF_016741855.1	24724168	
GCA_007671685.1	12807918	GCF_007671685.1	13034958	
GCA_010645075.1	16790898	GCF_010645075.1	17307078	
GCA_014203535.1	21607848	GCF_014203535.1	21660428	
GCA_900172295.1	4440688	GCF_900172295.1	4453528	
GCA_003289925.1	6755348	GCF_003289925.1	6842118	
GCA_003114815.1	6478038	GCF_003114815.1	6487558	
GCA_900115865.1	3706428	GCF_900115865.1	4885508	
GCA_900107015.1	3642458	GCF_900107015.1	4869568	
GCA_009674665.1	15456688	GCF_009674665.1	15490808	
GCA_003052585.1	6376058	GCF_003052585.1	6408008	
GCA_004785665.1	9282578	GCF_004785665.1	9297308	
GCA_014648815.1	22192018	GCF_014648815.1	22210948	
GCA_000826525.2	5148708	GCF_000826525.2	5185908	
GCA_016908015.1	25037268	GCF_016908015.1	25059238	
GCA_900105645.1	3639208	GCF_900105645.1	4883948	
GCA_003710965.1	7721128	GCF_003710965.1	7776068	
GCA_003634275.1	7561298	GCF_003634275.1	7599628	
GCA_900112365.1	3705428	GCF_900112365.1	4893488	
GCA_000971255.1	1725528	GCF_000971255.1	3139178	
GCA_017873335.1	26147158	GCF_017873335.1	26173608	
GCA_900142205.1	3778968	GCF_900142205.1	3841108	
GCA_016908415.1	25037668	GCF_016908415.1	25057558	
GCA_003206045.1	6626488	GCF_003206045.1	6660718	
GCA_003148845.1	6536358	GCF_003148845.1	6565578	
GCA_900113955.1	3705708	GCF_900113955.1	4870488	
GCA_009828065.1	15729138	GCF_009828065.1	15928238	
GCA_013328205.1	20009098	GCF_013328205.1	20067558	
GCA_013403955.1	20316368	GCF_013403955.1	20360688	
GCA_002262935.1	4945398	GCF_002262935.1	4954098	
GCA_003208655.1	6629088	GCF_003208655.1	6663898	
GCA_001592935.1	3062488	GCF_001592935.1	3405028	
GCA_003148775.1	6536278	GCF_003148775.1	6565958	
GCA_900107535.1	3643398	GCF_900107535.1	4874228	
GCA_004343195.1	8727148	GCF_004343195.1	8746158	
GCA_900215725.1	5627728	GCF_900215725.1	5634538	
GCA_900129445.1	3776548	GCF_900129445.1	3839008	
GCA_004122095.1	8377348	GCF_004122095.1	8438958	
GCA_017874075.1	26147888	GCF_017874075.1	26176308	
GCA_900289115.1	6275798	GCF_900289115.1	6304718	
GCA_014048465.1	21386208	GCF_014048465.1	21531998	
GCA_003725415.1	7787738	GCF_003725415.1	8335188	
GCA_007830035.1	12987708	GCF_007830035.1	13034598	
GCA_014649015.1	22192218	GCF_014649015.1	22216368	
GCA_016765635.1	24755798	GCF_016765635.1	24789028	
GCA_004745595.1	9232098	GCF_004745595.1	9266488	
GCA_900114835.1	3702208	GCF_900114835.1	4882028	
GCA_003862475.1	7985458	GCF_003862475.1	8352978	
GCA_001708935.1	3411908	GCF_001708935.1	3423448	
GCA_001653075.1	3277438	GCF_001653075.1	3410218	
GCA_004135675.1	8395038	GCF_004135675.1	8435038	
GCA_002868715.1	5848178	GCF_002868715.1	5850498	
GCA_003991355.1	8186058	GCF_003991355.1	8193868	
GCA_013344475.1	20077018	GCF_013344475.1	20095838	
GCA_004016525.1	8237168	GCF_004016525.1	8249798	
GCA_003160695.1	6552408	GCF_003160695.1	6566178	
GCA_900106955.1	3643868	GCF_900106955.1	4886308	
GCA_900626095.1	8054108	GCF_900626095.1	8068878	
GCA_005771535.1	10613758	GCF_005771535.1	10709448	
GCA_007830545.1	12988228	GCF_007830545.1	13038548	
GCA_003716585.1	7751728	GCF_003716585.1	7780088	
GCA_014202345.1	21606688	GCF_014202345.1	21627948	
GCA_016904955.1	25033528	GCF_016904955.1	25061298	
GCA_900182595.1	12057708	GCF_900182595.1	12152418	
GCA_002284535.1	4985468	GCF_002284535.1	4988468	
GCA_003640665.1	7568128	GCF_003640665.1	7606988	
GCA_013618625.1	20663598	GCF_013618625.1	25567668	
GCA_003096275.1	6456808	GCF_003096275.1	7669668	
GCA_900166625.1	4321228	GCF_900166625.1	4351618	
GCA_900168025.1	4203758	GCF_900168025.1	4230388	
GCA_001723285.1	3441618	GCF_001723285.1	3441998	
GCA_014773265.1	22343468	GCF_014773265.1	22376698	
GCA_005844085.1	10687588	GCF_005844085.1	10740378	
GCA_013403865.1	20316248	GCF_013403865.1	20359248	
GCA_900111175.1	3695948	GCF_900111175.1	4887748	
GCA_014641945.1	22185118	GCF_014641945.1	22207268	
GCA_014650455.1	22193658	GCF_014650455.1	22232518	
GCA_006517625.1	11571248	GCF_006517625.1	11596908	
GCA_900115305.1	3704148	GCF_900115305.1	4880328	
GCA_014196795.1	21601118	GCF_014196795.1	21632558	
GCA_009755805.1	15633788	GCF_009755805.1	15643008	
GCA_001050235.2	2870728	GCF_001050235.1	3922928	
GCA_003114835.1	6478058	GCF_003114835.1	6488618	
GCA_002023715.1	4188378	GCF_002023715.1	4194478	
GCA_003201815.1	6613138	GCF_003201815.1	6618918	
GCA_006475605.1	11525558	GCF_006475605.1	11566458	
GCA_014650175.1	22193378	GCF_014650175.1	22233618	
GCA_000718305.1	1157378	GCF_000718305.1	2260708	
GCA_001457795.1	2704518	GCF_001457795.1	2717248	
GCA_010994275.1	17237868	GCF_010994275.1	17306718	
GCA_003594885.1	7496768	GCF_003594885.1	7525438	
GCA_009749405.1	15619498	GCF_009749405.1	15651128	
GCA_016908395.1	25037648	GCF_016908395.1	25069698	
GCA_002751875.1	5617518	GCF_002751875.1	5632838	
GCA_004346195.1	8737308	GCF_004346195.1	8754598	
GCA_002013915.1	4170028	GCF_002013915.1	4181268	
GCA_008641065.1	14012108	GCF_008641065.1	14089708	
GCA_014596945.1	22136158	GCF_014596945.1	22152648	
GCA_014644535.1	22187678	GCF_014644535.1	22209408	
GCA_004137245.1	8396968	GCF_004137245.1	8439178	
GCA_014518315.1	22040588	GCF_014518315.1	27546518	
GCA_004025325.1	8248358	GCF_004025325.1	8255188	
GCA_008079445.1	13345818	GCF_008079445.1	13399818	
GCA_003696265.1	7648178	GCF_003696265.1	7666208	
GCA_000970455.1	1724228	GCF_000970455.1	1725038	
GCA_002217755.1	4679958	GCF_002217755.1	4682328	
GCA_900176415.1	4364238	GCF_900176415.1	4372868	
