334542    Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus qingshengii                                        Unassigned
525370    Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus hoagii                                             Rhodococcus hoagii ATCC 33707
632772    Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus opacus                                             Rhodococcus opacus B4
679318    Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. WMMA185                                        Unassigned
685727    Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus hoagii                                             Rhodococcus hoagii 103S
935199    Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. p52                                            Unassigned
1033922   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. WB1                                            Unassigned
1045808   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. YL-1                                           Unassigned
1051973   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus fascians                                           Rhodococcus fascians D188
1136179   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus erythropolis                                       Rhodococcus erythropolis CCM2595
1289591   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus erythropolis                                       Rhodococcus erythropolis R138
1302308   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. P1Y                                            Unassigned
1435356   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus pyridinivorans                                     Rhodococcus pyridinivorans SB3094
1443893   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus fascians                                           Rhodococcus fascians A21d2
1443894   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus fascians                                           Rhodococcus fascians A25f
1500843   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus pyridinivorans                                     Unassigned
1564114   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. B7740                                          Unassigned
1570939   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. 2G                                             Unassigned
1653478   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. PBTS 1                                         Unassigned
1653479   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. PBTS 2                                         Unassigned
1723645   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. 008                                            Unassigned
1727214   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. H-CA8f                                         Unassigned
1805827   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. MTM3W5.2                                       Unassigned
1807790   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. BH4                                            Unassigned
1925550   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. M8                                             Unassigned
1990687   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. S2-17                                          Unassigned
2054902   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. AQ5-07                                         Unassigned
2490853   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. NJ-530                                         Unassigned
2499145   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. X156                                           Unassigned
2507582   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. ABRD24                                         Unassigned
2565560   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. PAMC28707                                      Unassigned
2565561   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. PAMC28705                                      Unassigned
2567884   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. SGAir0479                                      Unassigned
2594007   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. WB9                                            Unassigned
2663121   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. WAY2                                           Unassigned
2683591   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. 21391                                          Unassigned
2722825   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. DMU1                                           Unassigned
2742603   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. W8901                                          Unassigned
2749906   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. ZPP                                            Unassigned
